Word,Points,Info
9*4/36=1,1,8.869887311646503
1/3*24=8,1,8.868539017719126
1/7*42=6,1,8.867671495338076
168/24=7,1,8.86648434724525
7*9/21=3,1,8.863520005684784
1/9*36=4,1,8.86349097951968
146/73=2,1,8.863235344399953
1/6*42=7,1,8.862372883025351
1/7*28=4,1,8.861871265317971
9/36*8=2,1,8.861779650042402
9*7/21=3,1,8.859400587003838
9/21*7=3,1,8.858749009762775
3*9/27=1,1,8.8577869365251
8/36*9=2,1,8.85684434757462
1/4*28=7,1,8.854843213712856
7/21*9=3,1,8.85435567945687
9/63*7=1,1,8.853458638522579
9*8/72=1,1,8.85162881577522
3/9*24=8,1,8.851491454363803
1/4*36=9,1,8.851352616465267
7*9/63=1,1,8.85125596536537
2/9*36=8,1,8.85121185828629
186/93=2,1,8.850112891424077
7/63*9=1,1,8.849242660350225
9/72*8=1,1,8.848996295875
6*9/54=1,1,8.848975347746297
9/36*4=1,1,8.847944746102371
3/7*14=6,1,8.847408177626223
8*9/72=1,1,8.846124938500832
2/9*18=4,1,8.845745238081106
4/36*9=1,1,8.845434189210083
9*7/63=1,1,8.844920746729096
16-2*4=8,1,8.844696691047957
8/72*9=1,1,8.844555963056163
3/9*12=4,1,8.843900681559427
3/8*24=9,1,8.843739886712658
9*6/54=1,1,8.843692059125324
9/54*6=1,1,8.843667660424439
2/8*36=9,1,8.841838468655878
3/6*14=7,1,8.84120361926661
152/38=4,1,8.84071862510441
6/54*9=1,1,8.840107506302752
4+12/3=8,1,8.839367598502685
6/9*12=8,1,8.83878475341395
3+12/4=6,1,8.837601800935106
2/4*18=9,1,8.837499329300636
134/67=2,1,8.837469822142912
1+32/4=9,1,8.837401265182255
162/54=3,1,8.835820152662137
3/4*12=9,1,8.83538579189037
14-2*3=8,1,8.835236517193014
7*8/56=1,1,8.834859757981073
1+24/6=5,1,8.834500570852374
174/29=6,1,8.834336037111543
9/18*4=2,1,8.834280232650334
9*3/27=1,1,8.833807686461537
16-4*2=8,1,8.833567527631804
6/8*12=9,1,8.832948185819413
1+32/8=5,1,8.832740984896871
1/9*54=6,1,8.832625507236273
3/9*18=6,1,8.831952713704425
4*5/10=2,1,8.831792393576679
4/18*9=2,1,8.83085200106277
1+24/3=9,1,8.830167087994969
1/9*27=3,1,8.828960715804048
138/69=2,1,8.828574210779449
14-3*2=8,1,8.826993025170648
4*8/2=16,1,8.826837221546917
1/9*72=8,1,8.82671563694699
4/28*7=1,1,8.82654376967888
5*4/10=2,1,8.82592634927076
7/28*4=1,1,8.825270384724966
8*7/56=1,1,8.825164674437968
192/64=3,1,8.825093538144746
1/9*63=7,1,8.823119195169381
5*8/10=4,1,8.823080327759948
5+12/4=8,1,8.822515528279625
3/6*18=9,1,8.821674568563147
1/6*54=9,1,8.820435248343781
18-3*4=6,1,8.820213541359514
1/8*72=9,1,8.819981076384815
6*8/4=12,1,8.819960403628265
1+63/9=8,1,8.819548330332347
156/78=2,1,8.818906944343896
18-2*7=4,1,8.817738270325727
1/7*63=9,1,8.817567216907323
416/52=8,1,8.817472914105386
